trade_id,report_date,counterparty_id,notional_amount,currency,status,asset_class,jurisdiction
TRD-00079,2024-03-20,CP-2084,588186.61,JPY,SETTLED,EQUITY,APAC
TRD-00080,2024-03-21,CP-4456,4316886.1,JPY,SETTLED,DERIVATIVE,UK
TRD-00081,2024-03-22,CP-6155,3120257.65,EUR,SETTLED,EQUITY,US
TRD-00082,2024-03-23,CP-4483,1661181.14,USD,SETTLED,EQUITY,EU
TRD-00083,2024-03-24,CP-9179,327156.17,EUR,PENDING,FX,EU
TRD-00084,2024-03-25,CP-7482,1561801.79,USD,SETTLED,BOND,US
TRD-00085,2024-03-26,CP-8517,1632664.78,EUR,SETTLED,EQUITY,UK
TRD-00086,2024-03-27,CP-3340,3650734.83,GBP,SETTLED,EQUITY,UK
TRD-00087,2024-03-28,CP-5339,3191411.78,JPY,SETTLED,FX,UK
TRD-00088,2024-03-29,CP-3287,4437191.59,USD,SETTLED,FX,APAC
TRD-00089,2024-03-30,CP-5040,2366352.48,USD,SETTLED,BOND,EU
TRD-00090,2024-03-31,CP-9830,606775.29,JPY,FAILED,FX,EU
TRD-00091,2024-04-01,CP-5304,3569091.49,USD,SETTLED,DERIVATIVE,EU
TRD-00092,2024-04-02,CP-8019,3806317.39,USD,SETTLED,FX,APAC
TRD-00093,2024-04-03,CP-7543,2810773.22,EUR,SETTLED,DERIVATIVE,EU
TRD-00094,2024-04-04,CP-6930,3857126.23,USD,SETTLED,BOND,APAC
TRD-00095,2024-04-05,CP-4593,2474040.03,GBP,PENDING,BOND,UK
TRD-00096,2024-04-06,CP-3266,2618436.82,GBP,PENDING,BOND,US
TRD-00097,2024-04-07,CP-9348,2143429.68,JPY,SETTLED,BOND,EU
TRD-00098,2024-04-08,CP-9085,136841.44,USD,SETTLED,BOND,EU
TRD-00099,2024-04-09,CP-2489,548378.22,JPY,SETTLED,DERIVATIVE,UK
TRD-00100,2024-04-10,CP-1771,166831.64,GBP,SETTLED,DERIVATIVE,US
TRD-00101,2024-04-11,CP-2796,3185687.95,USD,PENDING,BOND,APAC
TRD-00102,2024-04-12,CP-3504,1578636.35,USD,SETTLED,FX,US
TRD-00103,2024-04-13,CP-3621,2547767.75,JPY,SETTLED,EQUITY,UK
TRD-00104,2024-04-14,CP-7916,4538756.7,GBP,SETTLED,BOND,UK
TRD-00105,2024-04-15,CP-2040,1253968.22,USD,PENDING,FX,US
TRD-00106,2024-04-16,CP-7304,2057810.79,JPY,SETTLED,EQUITY,APAC
TRD-00107,2024-04-17,CP-7252,3780200.18,GBP,SETTLED,BOND,APAC
TRD-00108,2024-04-18,CP-8668,1151702.85,JPY,PENDING,BOND,EU
TRD-00109,2024-04-19,CP-9669,394129.75,EUR,SETTLED,DERIVATIVE,APAC
TRD-00110,2024-04-20,CP-5119,1455859.75,USD,SETTLED,EQUITY,US
TRD-00111,2024-04-21,CP-1188,814494.22,EUR,FAILED,EQUITY,UK
TRD-00112,2024-04-22,CP-2876,4649191.29,GBP,FAILED,FX,EU
TRD-00113,2024-04-23,CP-9797,4042520.69,EUR,SETTLED,DERIVATIVE,EU
TRD-00114,2024-04-24,CP-5371,3170684.74,EUR,SETTLED,DERIVATIVE,UK
TRD-00115,2024-04-25,CP-6573,4358588.35,GBP,SETTLED,DERIVATIVE,APAC
TRD-00116,2024-04-26,CP-2827,4020323.66,JPY,SETTLED,DERIVATIVE,UK
TRD-00117,2024-04-27,CP-5808,940984.59,EUR,SETTLED,EQUITY,APAC
TRD-00118,2024-04-28,CP-8123,4463869.4,JPY,SETTLED,EQUITY,UK
TRD-00119,2024-04-29,CP-3591,2701317.79,EUR,SETTLED,BOND,US
TRD-00120,2024-04-30,CP-8433,4039126.37,JPY,SETTLED,BOND,APAC
TRD-00121,2024-05-01,CP-1053,4481495.59,GBP,SETTLED,DERIVATIVE,US
TRD-00122,2024-05-02,CP-5315,1596837.34,EUR,SETTLED,DERIVATIVE,EU
TRD-00123,2024-05-03,CP-9201,559159.1,GBP,SETTLED,DERIVATIVE,UK
TRD-00124,2024-05-04,CP-3927,1147396.46,EUR,SETTLED,BOND,EU
TRD-00125,2024-05-05,CP-9317,2141267.87,GBP,SETTLED,FX,EU
TRD-00126,2024-05-06,CP-2743,4091893.68,GBP,SETTLED,FX,EU
TRD-00127,2024-05-07,CP-5889,4305045.61,EUR,PENDING,BOND,EU
TRD-00128,2024-05-08,CP-9317,44691.13,EUR,SETTLED,BOND,UK
TRD-00129,2024-05-09,CP-4258,2558629.04,EUR,SETTLED,BOND,EU
TRD-00130,2024-05-10,CP-3504,2092880.91,USD,SETTLED,BOND,UK
TRD-00131,2024-05-11,CP-7126,1118317.97,JPY,SETTLED,BOND,UK
TRD-00132,2024-05-12,CP-3646,608128.18,USD,SETTLED,BOND,US
TRD-00133,2024-05-13,CP-9837,1694699.71,USD,SETTLED,DERIVATIVE,APAC
TRD-00134,2024-05-14,CP-9689,4715119.42,GBP,SETTLED,DERIVATIVE,APAC
TRD-00135,2024-05-15,CP-1009,1622782.63,EUR,SETTLED,DERIVATIVE,UK
TRD-00136,2024-05-16,CP-6310,2598765.2,JPY,SETTLED,DERIVATIVE,US
TRD-00137,2024-05-17,CP-9005,3518064.6,GBP,SETTLED,BOND,UK
TRD-00138,2024-05-18,CP-1319,1824511.72,USD,SETTLED,FX,UK
TRD-00139,2024-05-19,CP-2832,4859192.59,EUR,SETTLED,EQUITY,UK
TRD-00140,2024-05-20,CP-6947,4812612.0,GBP,SETTLED,BOND,US
TRD-00141,2024-05-21,CP-6038,1266393.66,EUR,FAILED,EQUITY,APAC
TRD-00142,2024-05-22,CP-4923,2491270.04,GBP,SETTLED,FX,US
TRD-00143,2024-05-23,CP-1949,1511382.77,EUR,SETTLED,DERIVATIVE,EU
TRD-00144,2024-05-24,CP-4946,1431354.07,USD,SETTLED,FX,US
TRD-00145,2024-05-25,CP-2290,194065.87,JPY,PENDING,BOND,US
TRD-00146,2024-05-26,CP-2403,3051726.03,USD,FAILED,DERIVATIVE,US
TRD-00147,2024-05-27,CP-8962,2518368.33,JPY,SETTLED,BOND,US
TRD-00148,2024-05-28,CP-2133,266878.97,EUR,SETTLED,DERIVATIVE,APAC
TRD-00149,2024-05-29,CP-9727,1400445.86,GBP,SETTLED,EQUITY,EU
TRD-00150,2024-05-30,CP-3060,4542246.77,USD,SETTLED,EQUITY,APAC
TRD-00151,2024-05-31,CP-3103,1205413.83,JPY,SETTLED,EQUITY,APAC
TRD-00152,2024-06-01,CP-8787,733025.41,USD,SETTLED,FX,US
TRD-00153,2024-06-02,CP-3705,2452369.27,JPY,PENDING,BOND,UK
TRD-00154,2024-06-03,CP-5342,4928395.77,USD,SETTLED,FX,UK
TRD-00155,2024-06-04,CP-9645,1217855.8,JPY,SETTLED,EQUITY,APAC
TRD-00156,2024-06-05,CP-7932,3363956.38,JPY,SETTLED,BOND,APAC
TRD-00157,2024-06-06,CP-4470,3810481.88,EUR,SETTLED,EQUITY,US
TRD-00158,2024-06-07,CP-9835,1195811.34,JPY,SETTLED,FX,APAC
TRD-00159,2024-06-08,CP-4295,3643799.58,EUR,SETTLED,FX,US
TRD-00160,2024-06-09,CP-6107,1845237.83,JPY,SETTLED,FX,UK
TRD-00161,2024-06-10,CP-7537,3165206.09,GBP,SETTLED,EQUITY,UK
TRD-00162,2024-06-11,CP-7118,3171313.26,GBP,SETTLED,BOND,EU
TRD-00163,2024-06-12,CP-8177,2683515.67,GBP,SETTLED,BOND,UK
TRD-00164,2024-06-13,CP-9479,460545.95,JPY,FAILED,EQUITY,APAC
TRD-00165,2024-06-14,CP-8397,4178159.45,EUR,SETTLED,BOND,UK
TRD-00166,2024-06-15,CP-2982,1610692.52,EUR,SETTLED,EQUITY,US
TRD-00167,2024-06-16,CP-5061,940727.37,JPY,PENDING,BOND,UK
TRD-00168,2024-06-17,CP-4681,213467.96,GBP,SETTLED,DERIVATIVE,EU
TRD-00169,2024-06-18,CP-2049,2958555.79,GBP,FAILED,DERIVATIVE,UK
TRD-00170,2024-06-19,CP-6539,3391046.17,EUR,SETTLED,FX,US
TRD-00171,2024-06-20,CP-1344,92773.27,GBP,FAILED,DERIVATIVE,US
TRD-00172,2024-06-21,CP-4770,2565344.36,USD,SETTLED,DERIVATIVE,APAC
TRD-00173,2024-06-22,CP-4608,1140213.92,EUR,PENDING,DERIVATIVE,UK
TRD-00174,2024-06-23,CP-1117,3229412.22,GBP,SETTLED,EQUITY,US
TRD-00175,2024-06-24,CP-2163,880088.48,EUR,FAILED,DERIVATIVE,EU
TRD-00176,2024-06-25,CP-1964,3457779.31,USD,SETTLED,DERIVATIVE,APAC
TRD-00177,2024-06-26,CP-4750,1939809.38,EUR,SETTLED,FX,EU
TRD-00178,2024-06-27,CP-2104,4684282.64,EUR,FAILED,DERIVATIVE,UK
TRD-00179,2024-06-28,CP-1514,696229.51,EUR,SETTLED,DERIVATIVE,UK
TRD-00180,2024-06-29,CP-6413,1711921.09,EUR,SETTLED,BOND,UK
TRD-00181,2024-06-30,CP-2160,576232.87,USD,SETTLED,FX,APAC
TRD-00182,2024-07-01,CP-9423,4624221.16,JPY,SETTLED,FX,US
TRD-00183,2024-07-02,CP-4899,4387923.37,EUR,SETTLED,FX,APAC
TRD-00184,2024-07-03,CP-5562,1297128.72,EUR,SETTLED,FX,EU
TRD-00185,2024-07-04,CP-8953,3303320.39,GBP,PENDING,FX,APAC
TRD-00186,2024-07-05,CP-4510,4087938.78,EUR,SETTLED,FX,EU
TRD-00187,2024-07-06,CP-9834,2780452.05,GBP,SETTLED,EQUITY,APAC
TRD-00188,2024-07-07,CP-3167,2652956.39,JPY,FAILED,DERIVATIVE,US
TRD-00189,2024-07-08,CP-8744,1216842.93,USD,PENDING,FX,EU
TRD-00190,2024-07-09,CP-4981,474582.81,USD,SETTLED,DERIVATIVE,UK
TRD-00191,2024-07-10,CP-8749,4487106.63,JPY,SETTLED,DERIVATIVE,UK
TRD-00192,2024-07-11,CP-7669,4503086.11,USD,SETTLED,EQUITY,APAC
TRD-00193,2024-07-12,CP-4119,3169176.27,JPY,SETTLED,FX,UK
TRD-00194,2024-07-13,CP-2545,1701758.66,JPY,SETTLED,BOND,EU
TRD-00195,2024-07-14,CP-2588,1752555.78,JPY,SETTLED,EQUITY,UK
TRD-00196,2024-07-15,CP-8062,3632518.84,USD,SETTLED,BOND,US
TRD-00197,2024-07-16,CP-6804,4486580.2,GBP,SETTLED,DERIVATIVE,US
TRD-00198,2024-07-17,CP-7939,4436561.26,JPY,FAILED,DERIVATIVE,APAC
TRD-00199,2024-07-18,CP-7735,3901578.97,EUR,FAILED,EQUITY,EU
